timestamp,employer,location,job_title,years_at_employer,years_of_experience,salary,signing_bonus,annual_bonus,annual_stock_bonus,gender,additional_comments
2016-03-21 13:17:00,Texas Tech University System,"Lubbock, TX",Programmer Analyst III,3.0,7.0,55000.0,0.0,0.0,0.0,Male,
2016-03-21 13:17:00,UNC-CH/NCSU Joint Biomedical Engr. Dept,"Raleigh, NC",Phd Student,1.0,4.0,24073.0,0.0,0.0,0.0,Male,NIH Paygrade covers Health+Tuition
2016-03-21 13:17:00,Investment Bank,"New York, NY",M&A Analyst,1.0,1.0,85000.0,15000.0,70000.0,0.0,Male,Soul sucking
2016-03-21 13:17:00,,"Portland, OR",Senior Software Engineer,1.0,7.0,95000.0,0.0,0.0,0.0,Male,
2016-03-21 13:17:00,Apple,Sunnyvale,Senior Software Engineer,2.0,10.0,151000.0,20000.0,40000.0,10000.0,Male,
2016-03-21 13:17:00,,New Zealand,Developer,3.0,3.0,62000.0,0.0,0.0,0.0,Male,
2016-03-21 13:17:00,Conde Nast,"New York City, NY",Software Engineer - Level 2,4.0,8.0,112000.0,0.0,2.0,0.0,Male,
2016-03-21 13:18:00,,,Director of Product Engineering,1.0,0.0,125000.0,0.0,0.0,8000.0,Male,
2016-03-21 13:18:00,Pariveda Solutions,Dallas,Consultant II,2.0,3.0,77000.0,5000.0,0.0,0.0,Male,Pay is uniform across all markets with exception of NY and SF. Insane benefits.
2016-03-21 13:18:00,Starbucks Coffee Company,"Seattel, WA",Senior Application Developer,3.0,10.0,127000.0,0.0,15.0,10.0,Male,
2016-03-21 13:18:00,,,Software Engineer,1.0,2.0,106500.0,0.0,0.0,0.0,Male,
2016-03-21 13:19:00,,,Product Manager,4.0,1.0,85000.0,0.0,8500.0,0.0,Male,
2016-03-21 13:20:00,"Anixter, Inc",,Information Security Engineer,2.0,7.0,97000.0,0.0,5000.0,0.0,Male,
2016-03-21 13:20:00,Yahoo!,1,Senior Software Development Engineer,6.0,10.0,93000.0,15000.0,9000.0,0.0,Male,
2016-03-21 13:20:00,FactSet,1,Software Engineer,3.0,5.0,120000.0,5000.0,0.0,0.0,other,
2016-03-21 13:21:00,JP Morgan,114,Senior Java Dev,5.0,8.0,45000.0,0.0,3000.0,0.0,Male,
2016-03-21 13:21:00,Microsoft,2,SDE II,4.0,4.0,125000.0,50000.0,10000.0,5000.0,Male,
2016-03-21 13:21:00,Google NYC,1,SWE III,1.0,10.0,135500.0,50000.0,22300.0,43700.0,Male,signing bonus in form of paid relocation
2016-03-21 13:21:00,Tamr Inc,,Software Engineer,1.0,5.0,135000.0,0.0,0.0,0.0,Male,
2016-03-21 13:21:00,Rockfish Interactive,1,Developer II,2.0,5.0,65000.0,0.0,1950.0,0.0,Male,
2016-03-21 13:21:00,Small non-startup SW company,,Senior Software Engineer,4.0,14.0,92500.0,0.0,0.0,0.0,Male,
2016-03-21 13:21:00,,92705,Backend Web Developer,4.0,10.0,145000.0,20000.0,7000.0,0.0,Male,
2016-03-21 13:21:00,Amazon,98102,UX Designer II,1.0,1.0,12000.0,55000.0,15000.0,20000.0,Male,
2016-03-21 13:21:00,DoD Contractor,,Software Eng. III,1.0,4.0,100000.0,0.0,0.0,0.0,Male,
2016-03-21 13:21:00,Walmartlabs,94086,Principal/Lead Software Engineer,4.0,14.0,190000.0,150000.0,50000.0,75000.0,Male,
